tweet_id,favorite_count,retweet_count
816062466425819140,0,1144
816014286006976512,0,5841
815990720817401858,5353,1144
815966073409433600,24019,9335
815745968457060357,0,4550
815736392542261248,10536,2501
815639385530101762,8802,1811
815390420867969024,11094,4185
814986499976527872,8174,1424
814638523311648768,12076,2976
814578408554463233,0,6387
814530161257443328,9281,2036
814153002265309185,30823,9554
813944609378369540,0,3519
813910438903693312,9957,2070
813812741911748608,38935,15415
813800681631023104,8947,1933
813217897535406080,20034,8028
813202720496779264,9842,1977
813187593374461952,21255,4803
813172488309972993,10002,2105
813157409116065792,8316,2442
813142292504645637,9026,2596
813130366689148928,4786,488
813127251579564032,12711,3442
813112105746448384,11075,3034
813096984823349248,11280,3970
813081950185472002,10584,3046
813066809284972545,8535,2144
813051746834595840,22475,8071
812781120811126785,8121,2102
812747805718642688,0,7628
812709060537683968,7111,1572
812503143955202048,6520,1348
812466873996607488,8571,2119
812372279581671427,14699,4035
811985624773361665,7790,1547
811744202451197953,8094,1775
811647686436880384,5985,819
811627233043480576,13726,3448
811386762094317568,22426,7047
810984652412424192,5718,1578
810896069567610880,9714,1969
810657578271330305,11766,2916
810284430598270976,38046,12580
810254108431155201,15766,3699
809920764300447744,16627,4303
809808892968534016,0,5406
809448704142938112,7438,1618
809220051211603969,21400,6196
809084759137812480,14192,3858
808838249661788160,10847,3354
808733504066486276,8494,2390
808501579447930884,12115,2867
808344865868283904,45638,22876
808134635716833280,0,6565
808106460588765185,9362,2421
808001312164028416,13507,3899
807621403335917568,15647,4060
807106840509214720,127537,61268
807059379405148160,0,8083
807010152071229440,14004,4217
806629075125202948,80710,38438
806620845233815552,0,6090
806576416489959424,5208,2120
806542213899489280,10977,2611
806242860592926720,0,12905
806219024703037440,6894,1319
805958939288408065,0,5933
805932879469572096,8887,2109
805826884734976000,7074,2018
805823200554876929,0,8870
805520635690676224,6163,1820
805487436403003392,9420,2797
805207613751304193,8386,1881
804738756058218496,14768,4248
804475857670639616,6606,2220
804413760345620481,0,3555
804026241225523202,47969,17898
803773340896923648,10800,3057
803692223237865472,0,8195
803638050916102144,11800,4565
803380650405482500,8332,2050
803321560782307329,0,5870
803276597545603072,10775,2727
